Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
f6d492f78a47f2ed485a85c1e9923a5e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Aeromonadaceae; g__Aeromonas	0.9999992489620417
e048f12cb45f60c0a65970f47a923e80	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0.9999997091790501
c7835761bb993b96658a71951618275e	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_310392; f__Bacillaceae_G_310392; g__Bacillus_A	0.9999572354493877
15815e34044ef9745ded6ce692ffe09e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Aeromonadaceae; g__Aeromonas	0.9999868691556437
f64c65ca324f3a106f9d33e304a5e305	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Exiguobacterales; f__Exiguobacteraceae; g__Exiguobacterium_A	0.9999613713904473
802e6e3ce7664274d151b4dc45afe6be	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A	0.9999999562877657
692b2d747fcf9623cb3f338a1e9d9d71	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Pantoea_A_680069	0.8031121723299716
8e81355f5350620cb70cd8170badfa75	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Acinetobacter	0.999999999964247
25d4d67edbbdb344862285fe8bd7fdfa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter schindleri	0.8325701755075195
50a846dceb357c3048607c71508142a1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Chromobacteriaceae; g__Vogesella	0.9999766933414002
d47211920b3f3ebaf0d214cfcb2e4a74	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae; g__Pseudomonas_E_650325	0.9996491835724363
6fd16abd8f63c11eabb853eb2203da2c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae	0.9999999885482859
1049a10a3e1e494a7d1c5d35e99263f9	d__Bacteria	0.9994805464064835
c1f02346082351310248042fb998dbc7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae; g__Pseudomonas_E_648040	0.7741949651386124
5f98dd5532790d8d4c9c1edfbe48d55e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0.9999999071148168
c671a6de79fcaf3273d0ee63d7a130c9	d__Bacteria	0.9989638259932416
4e47b4cc41fbf51614488c20f2c90fae	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.999252089341741
f380bab66caa2aa2f97e39ccd14b5a2d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__Methyloglobulus; s__	0.9614332073962938
bb111a25a273a8831b163a6899811eec	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_A; f__Planococcaceae	0.9776227777554944
